source;target;weight
Wylomańska Agnieszka;Jurdziak Leszek;2
Wylomańska Agnieszka;Bieńkowski Paweł;3
Wylomańska Agnieszka;Wylomańska Agnieszka;138
Wylomańska Agnieszka;Madziarz Maciej;11
Wylomańska Agnieszka;Masajada Jan;1
Wylomańska Agnieszka;Sikora Grzegorz;39
Wylomańska Agnieszka;Dolega Anna;4
Wylomańska Agnieszka;Kowalska Małgorzata A.;1
Wylomańska Agnieszka;Kaszuba Damian;2
Podbielska Halina M.D.;Podbielska Halina M.D.;83
Podbielska Halina M.D.;Pluta Mieczysław;1
Podbielska Halina M.D.;Domaradzki Jarosław;1
Podbielska Halina M.D.;Kopaczyńska Marta K.;12
Podbielska Halina M.D.;Iskander D. Robert;1
Podbielska Halina M.D.;Wysocka-Kröl Katarzyna;15
Podbielska Halina M.D.;Pezowicz Celina A.;1
Podbielska Halina M.D.;Wilk Iwona;1
Podbielska Halina M.D.;Koźlecki Tomasz;1
Podbielska Halina M.D.;Asejczyk-Widlicka Magdalena;1
Podbielska Halina M.D.;Grabarek Martyna;1
Podbielska Halina M.D.;Borowik Tomasz;2
Podbielska Halina M.D.;Komorowska MaŁgorzata;2
Podbielska Halina M.D.;Miller Mirosław;1
Podbielska Halina M.D.;Drobczyński Sławomir;1
Podbielska Halina M.D.;Buzalewicz Igor;21
Podbielska Halina M.D.;Ulatowska-Jarz?a Agnieszka;35
Podbielska Halina M.D.;Dobryszycki Piotr;1
Podbielska Halina M.D.;Filipiak Jarosław;1
Podbielska Halina M.D.;Mazurkiewicz Jacek;3
Podbielska Halina M.D.;Lechna Monika I.;13
Podbielska Halina M.D.;BORAK B.;1
Podbielska Halina M.D.;Polowczyk Izabela;1
Podbielska Halina M.D.;Bryja Leszek;2
Podbielska Halina M.D.;Paszkowski Maciej;1
Podbielska Halina M.D.;Walski Tomasz;1
Podbielska Halina M.D.;Kowalik Waldemar W.;3
Podbielska Halina M.D.;Hołowacz Iwona;33
Podbielska Halina M.D.;Gumienny Zbigniew;1
Podbielska Halina M.D.;Kosz Dariusz;1
Podbielska Halina M.D.;Maliszewska Irena H.;1
Podbielska Halina M.D.;Kamila DúS Szachniewicz;1
Podbielska Halina M.D.;Chludzińska Ludmiła;1
Podbielska Halina M.D.;Langner Marek;4
Podbielska Halina M.D.;Krzak Justyna;1
Podbielska Halina M.D.;Woźniak Michał;1
Podbielska Halina M.D.;Banasiak Dariusz;1
