"source","target","weight"
"Zwolski Jarosław","Szymkowski Janusz","1"
"Bień Jan","Szymkowski Janusz","1"
"Wotowlec Paulina","Szymkowski Janusz","1"
"Chojnacka Maciej Janeczek","Michalak Izabela","1"
"Chojnacka Maciej Janeczek","Saeid Agnieszka","1"
"Witkowska Zuzanna","Chojnacka Maciej Janeczek","2"
"Zielińjska Agnieszka","Hoffmann Krystyna","1"
"Zielińjska Agnieszka","Hoffmann Józef","1"
"Samoraj Mateusz","Zielińjska Agnieszka","1"
"Tuhy Łukasz","Zielińjska Agnieszka","1"
"Witkowska Zuzanna","Zielińjska Agnieszka","1"
"Witek-Krowiak Anna","Zielińjska Agnieszka","1"
"Saeid Agnieszka","Zielińjska Agnieszka","1"
"Michalak Izabela","Zielińjska Agnieszka","2"
"Szafran Roman Grzegorz","Pokomeda Karol","1"
"Szafran Roman Grzegorz","Witek Anna","2"
"Szafran Roman Grzegorz","Witek-Krowiak Anna","5"
"Szafran Roman Grzegorz","Mitek M.","1"
"Szafran Roman Grzegorz","Patronik Piotr","3"
